1,1,61
2,1,30
3,1,61
4,1,67
5,1,41
6,1,0
7,1,61
8,1,90
9,1,36
10,1,13
11,1,64
12,1,87
13,1,88
14,1,55
15,1,48
16,1,31
17,1,79
18,1,89
19,1,87
20,1,0
21,1,23
22,1,14
23,1,87
24,1,2
25,1,78
26,1,96
27,1,71
28,1,51
29,1,67
30,1,65
31,1,73
32,1,10
33,1,13
34,1,27
35,1,84
36,1,2
37,1,79
38,1,76
39,1,79
40,1,96
41,1,52
42,1,14
43,1,69
44,1,71
45,1,91
46,1,90
47,1,88
48,1,61
49,1,64
50,1,72
51,1,21
52,1,48
53,1,51
54,1,17
55,1,40
56,1,38
57,1,50
58,1,52
59,1,81
60,1,38
61,1,87
62,1,41
63,1,78
64,1,46
65,1,21
66,1,85
67,1,91
68,1,31
69,1,73
70,1,35
71,1,56
72,1,41
73,1,49
74,1,87
75,1,13
76,1,89
77,1,45
78,1,11
79,1,67
80,1,96
81,1,80
82,1,77
83,1,17
84,1,98
85,1,46
86,1,3
87,1,85
88,1,41
89,1,18
90,1,78
91,1,74
92,1,96
93,1,22
94,1,57
95,1,14
96,1,0
97,1,11
98,1,86
99,1,31
100,1,55
101,1,0
102,1,88
103,1,85
104,1,83
105,1,42
106,1,76
107,1,83
108,1,73
109,1,62
110,1,7
111,1,99
112,1,30
113,1,73
114,1,86
115,1,99
116,1,75
117,1,93
118,1,43
119,1,60
120,1,44
121,1,14
122,1,74
123,1,96
124,1,30
125,1,51
126,1,15
127,1,33
128,1,56
129,1,76
130,1,70
131,1,47
132,1,52
133,1,100
134,1,25
135,1,49
136,1,71
137,1,16
138,1,99
139,1,59
140,1,97
141,1,19
142,1,56
143,1,44
144,1,85
145,1,78
146,1,21
147,1,32
148,1,7
149,1,61
150,1,38
151,1,57
152,1,20
153,1,83
154,1,36
155,1,35
156,1,34
157,1,98
158,1,5
159,1,80
160,1,65
161,1,96
162,1,28
163,1,49
164,1,55
165,1,89
166,1,85
167,1,32
168,1,50
169,1,52
170,1,7
171,1,16
172,1,31
173,1,79
174,1,24
175,1,48
176,1,43
177,1,18
178,1,2
179,1,76
180,1,17
181,1,38
182,1,50
183,1,16
184,1,15
185,1,40
186,1,20
187,1,45
188,1,83
189,1,11
190,1,91
191,1,90
192,1,88
193,1,73
194,1,53
195,1,87
196,1,29
197,1,7
198,1,70
199,1,77
200,1,21
201,1,15
202,1,69
203,1,85
